Line Num	Original ID	File	ARO	ARO:number	Synonim	Drug class	Note
							
5450	MEG_6113|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
5458	MEG_3242|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000479	gyrB	aminocoumarin	aminocoumarin resistant gyrB
							
5486	MEG_3204|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
5580	MEG_2874|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3004270	fabI	disinfecting agents and antiseptics, isoniazid-like antibiotic	ARG gene family
							
5582	MEG_2062|Metals|Copper_resistance|Copper_resistance_protein|COPL	abricate_megares_both_ARO_mapping.tsv	nan	COPL		metal resistance gene	
							
5598	MEG_5326|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
5609	MEG_3184|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
5623	MEG_5356|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
5656	MEG_6107|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
5669	MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
5703	MEG_7269|Metals|Tellurium_resistance|Tellurium_resistance_protein|TRGA	abricate_megares_both_ARO_mapping.tsv	nan	TRGA		metal resistance gene	
							
5709	MEG_7187|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003479	tetR	tetracycline	https://card.mcmaster.ca/ontology/40072
							
5725	MEG_3927|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000506	MexR	multi-drug	
							
5758	MEG_1179|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA	abricate_megares_both_ARO_mapping.tsv	nan	ASMA		multi-drug	
							
5759	MEG_5339|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
5765	MEG_3588|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003076	liafSR		
							
5767	MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR	abricate_megares_both_ARO_mapping.tsv	nan	ARSR		metal resistance gene	
							
5813	MEG_3928|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000506	MexR	multi-drug	
							
5816	MEG_2735|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRRSM	abricate_megares_both_ARO_mapping.tsv	nan	EMRRSM		biocide resistance gene	
							
5829	MEG_3941|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXZ|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003709	MexZ	multi-drug	
							
5832	MEG_3227|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
5851	MEG_5384|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
5861	MEG_3187|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
5891	MEG_5331|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
5897	MEG_5371|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
5911	MEG_1655|Metals|Chromium_resistance|Chromate_ABC_efflux_pump|CEUE	abricate_megares_both_ARO_mapping.tsv	nan	CEUE		metal resistance gene	
							
5946	MEG_2652|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|DMER	abricate_megares_both_ARO_mapping.tsv	nan	DMER		metal resistance gene	
							
5967	MEG_5401|Drugs|betalactams|Penicillin_binding_protein|PBP2|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003938 	ARG gene family	beta-lactam	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics (AMR gene family) https://card.mcmaster.ca/ontology/40661
							
5968	MEG_6551|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_resistance_regulator|SOXS	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000837	soxS		
							
6014	MEG_3249|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000479	gyrB	aminocoumarin	aminocoumarin resistant gyrB
							
6017	MEG_5370|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
6018	MEG_3181|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
6021	MEG_2460|Metals|Copper_resistance|Copper_resistance_protein|CUTR	abricate_megares_both_ARO_mapping.tsv	nan	CUTR		metal resistance gene	
							
6036	MEG_6090|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
6047	MEG_3189|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
6052	MEG_4166|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NIA	abricate_megares_both_ARO_mapping.tsv	nan	NIA		metal resistance gene	
							
6096	MEG_4197|Metals|Nickel_resistance|Nickel_resistance_protein|NIRC	abricate_megares_both_ARO_mapping.tsv	nan	NIRC		metal resistance gene	
							
6110	MEG_3219|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
6170	MEG_2032|Metals|Copper_resistance|Copper_resistance_protein|COPA	abricate_megares_both_ARO_mapping.tsv	nan	COPA		metal resistance gene	
							
6236	MEG_6109|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
6241	MEG_3185|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
6242	MEG_3239|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000479	gyrB	aminocoumarin	aminocoumarin resistant gyrB
							
6251	MEG_3212|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
6263	MEG_4076|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MTRA	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000816	mtrA	multi-drug	
							
6287	MEG_5400|Drugs|betalactams|Penicillin_binding_protein|PBP2	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003938 	ARG gene family	beta-lactam	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics (AMR gene family) https://card.mcmaster.ca/ontology/40661
							
6295	MEG_3877|Metals|Mercury_resistance|Mercury_resistance_protein|MERP	abricate_megares_both_ARO_mapping.tsv	nan	MERP		metal resistance gene	
							
6299	MEG_414|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000702	acrR	multi-drug	
							
6302	MEG_5335|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
6306	MEG_6050|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|RCNR	abricate_megares_both_ARO_mapping.tsv	nan	RCNR		metal resistance gene	
							
6312	MEG_2455|Metals|Copper_resistance|Copper_resistance_protein|CUTC	abricate_megares_both_ARO_mapping.tsv	nan	CUTC		metal resistance gene	
							
6321	MEG_3248|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000479	gyrB	aminocoumarin	aminocoumarin resistant gyrB
							
6357	MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3001312	EF-tu	elfamycin	ARG gene family
							
6371	MEG_3211|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
6429	MEG_4126|Metals|Nickel_resistance|Nickel_MFS_efflux_pumps|NCRCN	abricate_megares_both_ARO_mapping.tsv	nan	NCRCN		metal resistance gene	
							
6441	MEG_1153|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM	abricate_megares_both_ARO_mapping.tsv	nan	ARSBM		metal resistance gene	
							
6484	MEG_6137|Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOBL|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003090	daptomycin resistant beta-subunit of RNA polymerase (rpoB) 	daptomycin	AMR gene family
							
6493	MEG_28|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000322	AAC(3)	aminoglycoside	AMR gene family
							
6521	MEG_6091|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
6540	MEG_2889|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FBPB	abricate_megares_both_ARO_mapping.tsv	nan	FBPB		metal resistance gene	
							
6625	MEG_5340|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
6635	MEG_6141|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS	abricate_megares_both_ARO_mapping.tsv	nan	RPOS		biocide resistance gene	
							
6678	MEG_5394|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
6680	MEG_4033|Drugs|MLS|Macrolide_phosphotransferases|MPHB	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000318	mphB	macrolide	
							
6705	MEG_1231|Metals|Copper_resistance|Copper_resistance_regulator|BHSA	abricate_megares_both_ARO_mapping.tsv	nan	BHSA		metal resistance gene	
							
6719	MEG_3176|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
6731	MEG_5378|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
6753	MEG_5392|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
6761	MEG_5333|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
6795	MEG_3250|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000479	gyrB	aminocoumarin	aminocoumarin resistant gyrB
							
6798	MEG_3182|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
6823	MEG_1150|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM	abricate_megares_both_ARO_mapping.tsv	nan	ARSBM		metal resistance gene	
							
6844	MEG_6513|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|SITA	abricate_megares_both_ARO_mapping.tsv	nan	SITA		biocide resistance gene	
							
6865	MEG_5337|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
6872	MEG_2719|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_regulator|EMHR	abricate_megares_both_ARO_mapping.tsv	nan	EMHR		biocide resistance gene	
							
6873	MEG_5407|Drugs|betalactams|Penicillin_binding_protein|PBP2X|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003938 	ARG gene family	beta-lactam	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics (AMR gene family) https://card.mcmaster.ca/ontology/40661
							
6891	MEG_3931|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXS|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000813	MexS	multi-drug	
							
6911	MEG_5856|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|QACR	abricate_megares_both_ARO_mapping.tsv	nan	QACR		biocide resistance gene	
							
6939	MEG_6117|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
6945	MEG_6116|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
6957	MEG_3246|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000479	gyrB	aminocoumarin	aminocoumarin resistant gyrB
							
6965	MEG_7818|Biocides|Peroxide_resistance|peroxide_resistance_protein|YDEI	abricate_megares_both_ARO_mapping.tsv	nan	YDEI		biocide resistance gene	
							
7003	MEG_3930|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000506	MexR	multi-drug	
							
7020	MEG_7070|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETD	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000168	tet(D)	tetracycline	https://card.mcmaster.ca/ontology/36307
							
7029	MEG_6126|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
7035	MEG_1180|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA	abricate_megares_both_ARO_mapping.tsv	nan	ASMA		multi-drug	
							
7041	MEG_1701|Metals|Sodium_resistance|Sodium_resistance_protein|CHAA	abricate_megares_both_ARO_mapping.tsv	nan	CHAA		metal resistance gene	
							
7059	MEG_5351|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
7109	MEG_3203|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
7135	MEG_4110|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|NALD|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000819	nalD	multi-drug	
							
7177	MEG_3217|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
7277	MEG_7305|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3001312	EF-tu	elfamycin	ARG gene family
							
7278	MEG_5338|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
7294	MEG_3208|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
7330	MEG_3205|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
7333	MEG_7301|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3001312	EF-tu	elfamycin	ARG gene family
							
7346	MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
7356	MEG_3063|Metals|Iron_resistance|Iron_resistance_regulator|FURA	abricate_megares_both_ARO_mapping.tsv	nan	FURA		metal resistance gene	
							
7360	MEG_3445|Drugs|Mycobacterium_tuberculosis-specific_Drug|Isoniazid-resistant_mutant|KASA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003463	Mtub_kasA_INH	isoniazid-like antibiotic	
							
7374	MEG_412|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000702	acrR	multi-drug	
							
7378	MEG_5379|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
7381	MEG_6128|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
7390	MEG_5393|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
7394	MEG_6103|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
7402	MEG_7866|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT	abricate_megares_both_ARO_mapping.tsv	nan	ZUPT		biocide resistance gene	
							
7408	MEG_7306|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3001312	EF-tu	elfamycin	ARG gene family
							
7417	MEG_7188|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003479	tetR	tetracycline	https://card.mcmaster.ca/ontology/40072
							
7419	MEG_3193|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003292	gyrA	fluoroquinolone	fluoroquinolone resistant gyrA
							
7423	MEG_5376|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003313	parE	fluoroquinolone	fluoroquinolone resistant parE
							
7425	MEG_2439|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CUEA	abricate_megares_both_ARO_mapping.tsv	nan	CUEA		metal resistance gene	
							
7453	MEG_6549|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB	abricate_megares_both_ARO_mapping.tsv	nan	SOXRB		biocide resistance gene	
							
7457	MEG_7837|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_protein|YJCG	abricate_megares_both_ARO_mapping.tsv	nan	YJCG		biocide resistance gene	
							
7458	MEG_3875|Metals|Mercury_resistance|Mercury_resistance_protein|MERP	abricate_megares_both_ARO_mapping.tsv	nan	MERP		metal resistance gene	
							
7465	MEG_6552|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_resistance_regulator|SOXS|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000837	soxS	multi-drug	
							
7479	MEG_7259|Drugs|Aminoglycosides|Aminoglycoside-resistant_arabinosyltransferase|TLYA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003443	tlyA	aminoglycoside	AMR gene family
							
7493	MEG_4282|Drugs|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003385	Klebsiella aerogenes Omp36	multi-drug	
							
7530	MEG_2064|Metals|Copper_resistance|Copper_resistance_protein|COPL	abricate_megares_both_ARO_mapping.tsv	nan	COPL		metal resistance gene	
							
7552	MEG_5352|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000619	parC	fluoroquinolone	fluoroquinolone resistant parC
							
7579	MEG_6134|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000210	rpoB	rifamycin	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)
							
7597	MEG_3244|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3000479	gyrB	aminocoumarin	aminocoumarin resistant gyrB
							
7604	MEG_1730|Drugs|Lipopeptides|Daptomycin-resistant_mutant|CLS|RequiresSNPConfirmation	abricate_megares_both_ARO_mapping.tsv	nan	ARO:3003272	cls	peptide	AMR gene family
							
